Afghanistan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Albania;ABBYY Ukraine;Tel.: +38 044 490 94 63;Fax: +38 044 490 9461;
Algeria;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
American Samoa;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Andorra;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Angola;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Anguilla;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Antarctica;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Antigua & Barbuda;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Argentina;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Armenia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Australia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Austria;ABBYY Europe GmbH;Tel.: 0810240128;Fax: 0810240129;
Azerbaijan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bahamas;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Bahrain;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bangladesh;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;Phone activation is only available: between 9 am and 6 pm Indian Standard Time Monday to Saturday.
Barbados;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Belarus;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Belgium;ABBYY Europe GmbH;Tel.: 078189984 ;Fax: 078189985;
Belize;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Benin;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bermuda;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bhutan;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bolivia;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Bosnia-Herzegovina;ABBYY Ukraine;Tel.: +38 044 490 94 63;Fax: +38 044 490 9461;
Botswana;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Brazil;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Brunei;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Bulgaria;David Holding Co.;"Tel.: +359 2 9819061; +359 431 64900";"Fax: +359 2 9819464; +359 431 62253 ";
Burkina Faso;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Burundi;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Cambodia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Cameroon;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Canada;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Cape Verde;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Cayman Islands;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Central Africa Republic;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Chad;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Chile;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
China;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Christmas Island;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Cocos Island;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Colombia;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Comoros;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Congo;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Cook Islands;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Costa Rica;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Cote D'ivoire;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Croatia;Digital Media d.o.o.;Tel.: +385 40 343 612;Fax: +385 40 343 710;
Cuba;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Cyprus;Tsiakkastel Office Line Ltd.;Tel.: +357 22 862700;Fax: +357 22 862850;
Czech Republic;NupsesoCZ, s.r.o.;Tel.: +421 37 6542434;Fax:  +421 37 6542381;
Denmark;ABBYY Europe GmbH;Tel.: 70100093;Fax: 70100094;
Djibouti;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Dominica;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Dominican Republic;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Ecuador;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Egypt;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
El Salvador;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Equatorial Guinea;ABBYY Europe GmbH;Tel.: +49 89 511159-0 ;Fax: +49 89 5111 5959;
Eritrea;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Estonia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;Phone activation is available: between 8 am and 4 pm (GMT+02) Monday to Friday.
Ethiopia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Federated States of Micronesia;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
Fiji;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Finland;ABBYY Europe GmbH;Tel.: 0108 0 9522;Fax: 0108 0 9525;
France;ABBYY Europe GmbH;Tel.: 0825770041;Fax: 0825770042;
French Guiana;ABBYY USA;Tel.: +1 510 226 6717;;Phone activation is only available: between 9 am and 6 pm Pacific Standard Time Monday to Friday.
French Polynesia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Gabon;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Gambia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Georgia;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
Germany;ABBYY Europe GmbH;Tel.: 01803959000;Fax: 01803958585;
Ghana;ABBYY Russia;For details about the activation procedure, please contact the distributor from which you purchased the software. Should you have any questions, please contact the nearest ABBYY office: ABBYY Russia, Tel.: +7 095 783 3700 ;Fax: +7 095 783 2663;
